exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-1.00,"2020-06-01 09:01:17","2020-06-01 09:08:01",15,8,7,0,0,0,0
2,10.00,1.00,-1.00,-1.00,"2020-06-01 09:10:03","2020-06-01 09:17:34",15,8,6,0,0,0,1
3,1.00,10.00,-1.00,-1.00,"2020-06-01 09:19:36","2020-06-01 09:25:09",15,8,7,0,0,0,0
4,1.00,1.00,-10.00,-1.00,"2020-06-01 09:27:02","2020-06-01 09:33:54",15,9,6,0,0,0,0
5,1.00,1.00,-1.00,-10.00,"2020-06-01 09:35:17","2020-06-01 09:41:45",15,8,7,0,0,0,0
6,0.10,1.00,-1.00,-1.00,"2020-06-01 09:43:01","2020-06-01 09:49:54",15,9,6,0,0,0,0
7,1.00,0.10,-1.00,-1.00,"2020-06-01 09:51:52","2020-06-01 10:00:00",15,9,6,0,0,0,0
8,1.00,1.00,-0.10,-1.00,"2020-06-01 10:02:56","2020-06-01 10:09:49",15,9,6,0,0,0,0
9,1.00,1.00,-1.00,-0.10,"2020-06-01 10:11:12","2020-06-01 10:17:42",15,7,8,0,0,0,0
10,10.00,10.00,-1.00,-1.00,"2020-06-01 10:18:58","2020-06-01 10:25:43",15,8,7,0,0,0,0
11,1.00,10.00,-10.00,-1.00,"2020-06-01 10:27:46","2020-06-01 10:34:37",15,9,6,0,0,0,0
12,1.00,1.00,-10.00,-10.00,"2020-06-01 10:36:34","2020-06-01 10:44:53",15,8,7,0,0,0,0
13,10.00,10.00,-0.10,-0.10,"2020-06-01 10:46:32","2020-06-01 10:53:24",15,9,6,0,0,0,0
14,0.10,10.00,-10.00,-0.10,"2020-06-01 10:55:20","2020-06-01 11:01:22",15,9,6,0,0,0,0
15,0.10,0.10,-10.00,-10.00,"2020-06-01 11:04:16","2020-06-01 11:10:18",15,8,7,0,0,0,0
