exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-1.00,"2020-06-01 09:07:11","2020-06-01 09:17:00",00:09:49,15,10,5,0,0,0,0
2,2.00,1.00,-1.00,-1.00,"2020-06-01 09:19:03","2020-06-01 09:28:09",00:09:06,15,10,5,0,0,0,0
3,3.00,1.00,-1.00,-1.00,"2020-06-01 09:29:53","2020-06-01 09:38:59",00:09:06,15,10,5,0,0,0,0
4,4.00,1.00,-1.00,-1.00,"2020-06-01 09:40:43","2020-06-01 09:50:05",00:09:22,15,9,6,0,0,0,0
5,5.00,1.00,-1.00,-1.00,"2020-06-01 09:52:00","2020-06-01 10:01:48",00:09:48,15,10,5,0,0,0,0
6,6.00,1.00,-1.00,-1.00,"2020-06-01 10:03:49","2020-06-01 10:13:38",00:09:49,15,10,5,0,0,0,0
7,7.00,1.00,-1.00,-1.00,"2020-06-01 10:15:39","2020-06-01 10:25:50",00:10:11,15,10,5,0,0,0,0
8,8.00,1.00,-1.00,-1.00,"2020-06-01 10:28:01","2020-06-01 10:39:14",00:11:13,15,9,4,0,0,0,2
9,9.00,1.00,-1.00,-1.00,"2020-06-01 10:40:46","2020-06-01 10:50:47",00:10:01,15,10,5,0,0,0,0
10,10.00,1.00,-1.00,-1.00,"2020-06-01 10:52:49","2020-06-01 11:01:55",00:09:06,15,10,5,0,0,0,0
11,1.00,1.00,-1.00,-1.00,"2020-06-01 11:03:38","2020-06-01 11:13:39",00:10:01,15,10,5,0,0,0,0
12,1.00,2.00,-1.00,-1.00,"2020-06-01 11:15:40","2020-06-01 11:25:42",00:10:02,15,10,5,0,0,0,0
13,1.00,3.00,-1.00,-1.00,"2020-06-01 11:27:43","2020-06-01 11:37:45",00:10:02,15,10,5,0,0,0,0
14,1.00,4.00,-1.00,-1.00,"2020-06-01 11:39:45","2020-06-01 11:49:12",00:09:27,15,10,5,0,0,0,0
15,1.00,5.00,-1.00,-1.00,"2020-06-01 11:51:45","2020-06-01 12:01:34",00:09:49,15,10,5,0,0,0,0
16,1.00,6.00,-1.00,-1.00,"2020-06-01 12:03:35","2020-06-01 12:12:49",00:09:14,15,10,5,0,0,0,0
17,1.00,7.00,-1.00,-1.00,"2020-06-01 12:14:23","2020-06-01 12:24:06",00:09:43,15,9,6,0,0,0,0
18,1.00,8.00,-1.00,-1.00,"2020-06-01 12:26:06","2020-06-01 12:35:17",00:09:11,15,8,6,0,0,0,1
19,1.00,9.00,-1.00,-1.00,"2020-06-01 12:37:50","2020-06-01 12:47:39",00:09:49,15,10,5,0,0,0,0
20,1.00,10.00,-1.00,-1.00,"2020-06-01 12:49:36","2020-06-01 12:59:25",00:09:49,15,10,5,0,0,0,0
21,1.00,1.00,-1.00,-1.00,"2020-06-01 13:01:26","2020-06-01 13:11:15",00:09:49,15,10,5,0,0,0,0
22,1.00,1.00,-2.00,-1.00,"2020-06-01 13:13:19","2020-06-01 13:22:26",00:09:07,15,10,5,0,0,0,0
23,1.00,1.00,-3.00,-1.00,"2020-06-01 13:24:08","2020-06-01 13:33:34",00:09:26,15,10,5,0,0,0,0
24,1.00,1.00,-4.00,-1.00,"2020-06-01 13:36:07","2020-06-01 13:45:13",00:09:06,15,10,5,0,0,0,0
25,1.00,1.00,-5.00,-1.00,"2020-06-01 13:47:01","2020-06-01 13:57:04",00:10:03,15,10,5,0,0,0,0
26,1.00,1.00,-6.00,-1.00,"2020-06-01 13:59:07","2020-06-01 14:08:51",00:09:44,15,10,5,0,0,0,0
27,1.00,1.00,-7.00,-1.00,"2020-06-01 14:10:55","2020-06-01 14:20:23",00:09:28,15,10,5,0,0,0,0
28,1.00,1.00,-8.00,-1.00,"2020-06-01 14:22:15","2020-06-01 14:32:17",00:10:02,15,10,5,0,0,0,0
29,1.00,1.00,-9.00,-1.00,"2020-06-01 14:34:17","2020-06-01 14:43:43",00:09:26,15,10,5,0,0,0,0
30,1.00,1.00,-10.00,-1.00,"2020-06-01 14:46:16","2020-06-01 14:56:51",00:10:35,15,9,5,0,0,0,1
31,1.00,1.00,-1.00,-1.00,"2020-06-01 14:59:01","2020-06-01 15:08:49",00:09:48,15,10,5,0,0,0,0
32,1.00,1.00,-1.00,-2.00,"2020-06-01 15:10:49","2020-06-01 15:20:38",00:09:49,15,10,5,0,0,0,0
33,1.00,1.00,-1.00,-3.00,"2020-06-01 15:22:39","2020-06-01 15:31:44",00:09:05,15,10,5,0,0,0,0
34,1.00,1.00,-1.00,-4.00,"2020-06-01 15:33:27","2020-06-01 15:43:16",00:09:49,15,10,5,0,0,0,0
35,1.00,1.00,-1.00,-5.00,"2020-06-01 15:45:14","2020-06-01 15:54:22",00:09:08,15,10,5,0,0,0,0
36,1.00,1.00,-1.00,-6.00,"2020-06-01 15:56:06","2020-06-01 16:06:07",00:10:01,15,10,5,0,0,0,0
37,1.00,1.00,-1.00,-7.00,"2020-06-01 16:08:10","2020-06-01 16:17:36",00:09:26,15,10,5,0,0,0,0
38,1.00,1.00,-1.00,-8.00,"2020-06-01 16:20:09","2020-06-01 16:29:58",00:09:49,15,10,5,0,0,0,0
39,1.00,1.00,-1.00,-9.00,"2020-06-01 16:31:57","2020-06-01 16:41:50",00:09:53,15,10,5,0,0,0,0
40,1.00,1.00,-1.00,-10.00,"2020-06-01 16:43:57","2020-06-01 16:54:00",00:10:03,15,10,5,0,0,0,0
